SEX,QU_AGREE1,QU_AGREE2,Q1,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6,Q3A1,Q3A2,Q3A3,Q3A4,Q3A5,Q3A6,Q3A7,Q3A8,Q3A9,Q4A1,Q4A2,Q5,Q6A1,Q6A2,Q6A3,Q6A4,Q6A5,Q7A1,Q7A2,Q7A3,Q7A4,Q7A5,Q7A6,Q7A7,Q7A8,Q7A9,Q7A10,Q8A1,Q8A2,Q8A3,Q9,Q10,Q11,Q12,Q13A1,Q13A2,Q14,Q15,Q16,Q16_1M1,Q16_1M2,Q17,Q18A1,Q18A2,Q18A3,Q19,Q20A1,Q20A2,Q20A3,Q20A4,Q20A5,Q21,Q22A1,Q22A2,Q22A3,Q22A4,Q22A5,Q23,Q24A1,Q24A2,Q24A3,Q24A4,Q25,Q26,Q27A1,Q27A2,BQ1_YEAR,BQ1_MONTH,BQ2M1,BQ2M2,BQ2M3,BQ2M4,BQ2M5,BQ2M6,BQ2M7,BQ2M8,BQ3A1,BQ3A2,BQ4A1,BQ4A2,BQ5,DM1,DM2,DM3,wgt_a,wgt_b
2.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,6.0,3.0,3.0,3.0,4.0,1.0,,,5.0,2.0,3.0,3.0,6.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,4.0,4.0,6.0,3.0,4.0,3.0,4.0,6.0,5.0,3.0,4.0,2005.0,5.0,3.0,4.0,5.0,,,,,,6.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,8.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,7.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,1.0,5.0,8.0,5.0,2.0,5.0,1.0,1.0,,,8.0,4.0,4.0,4.0,8.0,4.0,4.0,2.0,4.0,3.0,7.0,3.0,1.0,1.0,4.0,3.0,7.0,2.0,3.0,4.0,5.0,8.0,8.0,5.0,5.0,2005.0,11.0,3.0,4.0,5.0,,,,,,8.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,8.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,8.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,9.0,4.0,2.0,2.0,8.0,1.0,,,8.0,4.0,4.0,3.0,8.0,4.0,4.0,3.0,3.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,3.0,4.0,4.0,9.0,8.0,4.0,4.0,2005.0,8.0,3.0,4.0,5.0,,,,,,7.0,7.0,1.0,1.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,5.0,5.0,8.0,2.0,1.0,2.0,7.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,1.0,6.0,4.0,4.0,2.0,2.0,0.0,7.0,3.0,4.0,2005.0,11.0,3.0,5.0,6.0,,,,,,1.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,10.0,5.0,5.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,3.0,10.0,5.0,2.0,4.0,4.0,1.0,,,10.0,4.0,3.0,4.0,8.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,4.0,7.0,5.0,2.0,4.0,4.0,10.0,5.0,3.0,5.0,2005.0,2.0,3.0,4.0,5.0,,,,,,8.0,8.0,1.0,1.0,4.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,7.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,8.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,6.0,3.0,2.0,1.0,6.0,1.0,,,7.0,4.0,4.0,3.0,7.0,3.0,3.0,4.0,4.0,4.0,8.0,4.0,2.0,2.0,3.0,3.0,8.0,4.0,4.0,5.0,4.0,10.0,7.0,3.0,5.0,2005.0,12.0,3.0,5.0,,,,,,,4.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,10.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,10.0,5.0,1.0,4.0,7.0,1.0,,,10.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,2005.0,1.0,3.0,4.0,5.0,,,,,,5.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,4.0,2.0,5.0,2.0,6.0,1.0,,,4.0,4.0,3.0,2.0,6.0,2.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,8.0,2.0,2.0,4.0,2005.0,3.0,3.0,4.0,5.0,,,,,,7.0,7.0,1.0,1.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
2.0,1.0,1.0,10.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,10.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,10.0,5.0,3.0,3.0,4.0,1.0,,,10.0,3.0,5.0,5.0,10.0,4.0,4.0,1.0,3.0,5.0,10.0,4.0,3.0,3.0,2.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,3.0,2005.0,7.0,3.0,4.0,,,,,,,8.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,407.7903465366586,0.8117642642147126
1.0,1.0,1.0,9.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,9.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,9.0,4.0,2.0,1.0,8.0,1.0,,,9.0,5.0,4.0,4.0,9.0,4.0,4.0,2.0,4.0,4.0,8.0,4.0,4.0,3.0,4.0,4.0,9.0,4.0,4.0,4.0,4.0,9.0,10.0,4.0,5.0,2006.0,9.0,3.0,4.0,5.0,,,,,,6.0,6.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,10.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0,8.0,4.0,1.0,1.0,8.0,1.0,,,10.0,5.0,4.0,5.0,10.0,5.0,5.0,2.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,2006.0,8.0,3.0,4.0,5.0,,,,,,4.0,8.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,8.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,4.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,2.0,9.0,4.0,2.0,2.0,3.0,1.0,,,9.0,3.0,4.0,4.0,9.0,4.0,4.0,1.0,4.0,4.0,9.0,4.0,4.0,4.0,4.0,4.0,9.0,3.0,4.0,4.0,4.0,10.0,9.0,2.0,5.0,2006.0,11.0,3.0,4.0,5.0,,,,,,6.0,6.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,8.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,2.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,5.0,9.0,5.0,2.0,4.0,6.0,1.0,,,10.0,3.0,3.0,3.0,9.0,4.0,3.0,2.0,3.0,3.0,8.0,4.0,3.0,2.0,3.0,3.0,9.0,5.0,3.0,2.0,4.0,8.0,7.0,3.0,4.0,2006.0,7.0,1.0,2.0,3.0,4.0,5.0,,,,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,5.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,7.0,4.0,4.0,3.0,1.0,2.0,2.0,,6.0,2.0,3.0,3.0,6.0,1.0,5.0,1.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,3.0,6.0,3.0,3.0,3.0,1.0,6.0,5.0,4.0,4.0,2006.0,12.0,3.0,4.0,,,,,,,5.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,10.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,1.0,4.0,1.0,10.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,10.0,4.0,2.0,3.0,8.0,1.0,,,10.0,4.0,3.0,4.0,9.0,5.0,4.0,3.0,4.0,5.0,8.0,5.0,5.0,5.0,5.0,4.0,10.0,5.0,4.0,3.0,4.0,10.0,9.0,3.0,5.0,2006.0,10.0,3.0,5.0,,,,,,,8.0,0.0,1.0,0.0,5.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,6.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,7.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,8.0,4.0,5.0,4.0,1.0,2.0,2.0,,8.0,2.0,4.0,3.0,7.0,4.0,3.0,2.0,4.0,3.0,6.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,9.0,4.0,4.0,5.0,2006.0,2.0,3.0,4.0,,,,,,,8.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,9.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,1.0,4.0,1.0,9.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,4.0,3.0,4.0,1.0,4.0,10.0,5.0,2.0,2.0,1.0,1.0,,,8.0,5.0,3.0,3.0,8.0,4.0,3.0,4.0,4.0,4.0,8.0,5.0,4.0,4.0,5.0,4.0,9.0,3.0,3.0,5.0,5.0,10.0,9.0,4.0,5.0,2006.0,3.0,3.0,4.0,5.0,,,,,,6.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
2.0,1.0,1.0,8.0,5.0,3.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,8.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,7.0,4.0,2.0,1.0,8.0,1.0,,,10.0,5.0,5.0,4.0,9.0,3.0,3.0,5.0,3.0,2.0,9.0,3.0,5.0,5.0,5.0,5.0,10.0,3.0,4.0,2.0,3.0,6.0,8.0,5.0,3.0,2006.0,7.0,4.0,5.0,,,,,,,0.0,4.0,0.0,1.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,1.0,3.0,4.0,8.0,4.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,7.0,4.0,5.0,2.0,8.0,1.0,,,10.0,1.0,5.0,5.0,8.0,5.0,5.0,1.0,5.0,5.0,8.0,3.0,4.0,4.0,4.0,5.0,8.0,1.0,4.0,5.0,3.0,10.0,8.0,4.0,5.0,2006.0,11.0,2.0,3.0,4.0,,,,,,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,8.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,7.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0,5.0,6.0,3.0,4.0,4.0,8.0,1.0,,,8.0,3.0,3.0,3.0,7.0,4.0,4.0,5.0,4.0,3.0,7.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,9.0,8.0,4.0,4.0,2006.0,9.0,3.0,4.0,5.0,,,,,,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,7.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0,7.0,2.0,2.0,,6.0,2.0,3.0,3.0,6.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,2006.0,11.0,3.0,4.0,5.0,,,,,,8.0,8.0,1.0,1.0,4.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
1.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,6.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,8.0,1.0,,,8.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,5.0,4.0,10.0,4.0,4.0,3.0,3.0,4.0,8.0,2.0,4.0,3.0,1.0,8.0,6.0,4.0,5.0,2006.0,7.0,3.0,4.0,5.0,,,,,,8.0,8.0,1.0,1.0,4.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,8.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,2.0,6.0,4.0,4.0,2.0,8.0,1.0,,,8.0,3.0,4.0,3.0,7.0,3.0,4.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,2.0,4.0,7.0,2.0,,,,8.0,6.0,4.0,4.0,2006.0,3.0,3.0,4.0,,,,,,,8.0,8.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,10.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,7.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,1.0,5.0,10.0,2.0,4.0,3.0,8.0,1.0,,,8.0,4.0,3.0,4.0,8.0,3.0,4.0,5.0,5.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,8.0,8.0,5.0,5.0,2006.0,10.0,3.0,4.0,5.0,,,,,,8.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
1.0,1.0,1.0,9.0,4.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,1.0,5.0,2.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,9.0,4.0,3.0,3.0,6.0,1.0,,,9.0,3.0,4.0,4.0,8.0,4.0,3.0,5.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,3.0,3.0,4.0,6.0,8.0,4.0,4.0,2006.0,5.0,3.0,4.0,5.0,,,,,,4.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,390.8775444096634,0.7780969435166365
2.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,1.0,,,5.0,5.0,3.0,4.0,7.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,6.0,3.0,3.0,3.0,3.0,7.0,5.0,3.0,3.0,2006.0,3.0,3.0,4.0,,,,,,,5.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,8.0,5.0,5.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,7.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,5.0,2.0,3.0,9.0,5.0,2.0,2.0,8.0,1.0,,,9.0,1.0,5.0,3.0,9.0,5.0,4.0,4.0,3.0,4.0,8.0,5.0,4.0,3.0,4.0,5.0,10.0,5.0,4.0,3.0,3.0,9.0,9.0,3.0,5.0,2007.0,1.0,3.0,4.0,5.0,,,,,,8.0,8.0,1.0,1.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,8.0,4.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,8.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,,7.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,3.0,7.0,3.0,3.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,3.0,8.0,6.0,3.0,5.0,2006.0,6.0,3.0,4.0,5.0,,,,,,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,6.0,3.0,3.0,4.0,1.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,,,6.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,8.0,3.0,2.0,4.0,4.0,4.0,6.0,3.0,3.0,2.0,3.0,9.0,8.0,4.0,5.0,2006.0,12.0,3.0,4.0,5.0,,,,,,6.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,9.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,8.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,9.0,3.0,4.0,3.0,2.0,1.0,,,8.0,3.0,4.0,4.0,10.0,5.0,5.0,5.0,5.0,4.0,9.0,4.0,5.0,5.0,5.0,5.0,8.0,2.0,2.0,4.0,4.0,10.0,7.0,4.0,4.0,2006.0,5.0,1.0,3.0,4.0,6.0,,,,,4.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,,,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,2006.0,2.0,3.0,4.0,,,,,,,8.0,6.0,1.0,1.0,4.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,2.0,1.0,,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,6.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,2006.0,5.0,3.0,4.0,5.0,,,,,,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,538.4760867369232,1.0719126827292893
1.0,1.0,1.0,7.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,9.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,5.0,3.0,5.0,8.0,5.0,4.0,2.0,8.0,1.0,,,7.0,3.0,4.0,4.0,9.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,3.0,3.0,4.0,5.0,9.0,5.0,5.0,4.0,5.0,8.0,8.0,4.0,4.0,2004.0,12.0,8.0,,,,,,,,6.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,459.56791265807055,0.9148348205001793
1.0,1.0,1.0,7.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,8.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,4.0,1.0,4.0,1.0,3.0,8.0,3.0,3.0,4.0,8.0,2.0,2.0,,8.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,8.0,9.0,4.0,4.0,2004.0,1.0,3.0,4.0,5.0,,,,,,6.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,459.56791265807055,0.9148348205001793
1.0,1.0,1.0,8.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,7.0,4.0,3.0,3.0,8.0,1.0,,,7.0,2.0,3.0,3.0,8.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,8.0,4.0,3.0,3.0,4.0,6.0,7.0,4.0,5.0,2004.0,10.0,3.0,4.0,5.0,,,,,,5.0,5.0,1.0,1.0,4.0,1.0,2.0,3.0,459.56791265807055,0.9148348205001793
1.0,1.0,1.0,9.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,4.0,3.0,3.0,8.0,1.0,,,9.0,3.0,4.0,4.0,10.0,3.0,3.0,2.0,3.0,4.0,8.0,4.0,3.0,4.0,4.0,4.0,10.0,4.0,4.0,3.0,3.0,6.0,7.0,2.0,4.0,2004.0,1.0,3.0,4.0,5.0,,,,,,4.0,6.0,1.0,1.0,5.0,1.0,2.0,3.0,459.56791265807055,0.9148348205001793
